cityCode,cityName,wellnessCentreCode,wellnessCentreName,wellnessCentreAddress,doctorCount,category,wellnessCentreContactNo,longitude,latitude
11,DELHI/NCR,D55,Inderpuri,NA,4,alopathic,25836573,77.14614868,28.635563
11,DELHI/NCR,D58,Nangal Raya,NA,6,alopathic,28521863,77.09876251,28.611599
11,DELHI/NCR,D59,Rajpur Road,NA,3,alopathic,011-23973646,77.21626282,28.66859
11,DELHI/NCR,D61,Janakpuri-I,NA,13,alopathic,25551434,77.08933258,28.621658
11,DELHI/NCR,D65,M.B. Road,NA,7,alopathic,011-29564988,77.22093201,28.523499
11,DELHI/NCR,D69,"RK Puram VI,Sec 3",NA,4,alopathic,011-26173911,77.17902374,28.55421
11,DELHI/NCR,D71,MUNIRKA,NA,5,alopathic,011-26741983,77.17024231,28.55014
11,DELHI/NCR,D72,KASTURBA NAGAR-II,NA,4,alopathic,011-24622736,77.22894287,28.575907
11,DELHI/NCR,D76,Kali Bari,NA,4,alopathic,23743142,77.20024872,28.62901
11,DELHI/NCR,D79,Vivek Vihar,NA,5,alopathic,011-22143551,77.31825256,28.663721
11,DELHI/NCR,D84,Yamuna Vihar,NA,9,alopathic,011-22565516,77.26750946,28.701345
11,DELHI/NCR,D90,SARITA VIHAR,NA,5,alopathic,011-26940651,77.30066681,28.53862
11,DELHI/NCR,D91,VASANT KUNJ,NA,6,alopathic,011-26123790,77.16953278,28.522001
11,DELHI/NCR,D93,SUPREME COURT,NA,18,alopathic,,77.23838043,28.620775
11,DELHI/NCR,D97,Indirapuram,NA,7,alopathic,0120-2770973,77.33979797,28.649866
11,DELHI/NCR,HO24,HOMEOPATHIC WC KASTURBA NAGAR-I,NA,2,homeo,"011-24622867, 24693551",77.2493515,28.565622
11,DELHI/NCR,HO42,HOMEOPATHIC WC KALKAJI-I,NA,2,homeo,011-26430851,77.26003265,28.5397
11,DELHI/NCR,HO48,Hari Nagar (Homeo),NA,2,homeo,28125518,77.10641479,28.624872
11,DELHI/NCR,HO49,HOMEOPATHIC WC SHAHDRA,NA,2,homeo,,77.29935455,28.681932
11,DELHI/NCR,HO57,HOMEOPATHIC WC RKP-XII,NA,3,homeo,,77.17584991,28.573261
11,DELHI/NCR,HO67,Laxmi Nagar Homeopathic,NA,2,homeo,011-22543108/ 22466544,77.27694702,28.630806
11,DELHI/NCR,HO7,Timarpur Homeopathic,NA,2,homeo,011-23813808,77.22166443,28.706379
11,DELHI/NCR,PHA,PHA (ANNEXE),NA,32,alopathic,,77.20845795,28.6206
11,DELHI/NCR,UN49,Shahdara Unani,NA,2,unani,011-22583766,77.29879761,28.680838
11,DELHI/NCR,UN98,Naraina Vihar (Unani),NA,2,unani,25778775,77.14344788,28.624931
121,MEERUT,MR1,Abu Lane,NA,4,alopathic,0121-2661739,77.70230865,28.997236
177,SHIMLA,SL1,SHIMLA,NA,3,alopathic,,77.14741516,31.103388
20,PUNE,PU01,Akurdi,NA,5,alopathic,020-27640130,73.76499939,18.651558
22,MUMBAI,MU11,Byculla,NA,1,alopathic,022–23722150,72.83562469,18.97616
22,MUMBAI,MU13,CBD Belapur,NA,7,alopathic,022–27522287,73.02830505,19.026836
22,MUMBAI,MU14,WAKOLA,NA,2,alopathic,022–26650366,72.8575592,19.08297
22,MUMBAI,MU15,Deonar,NA,3,alopathic,022–25512137,72.91854095,19.045315
22,MUMBAI,MU23,Parel,NA,2,alopathic,022–24187276,72.84323883,18.99578
22,MUMBAI,MU8,Koliwada,NA,10,alopathic,022–24013694,72.86637878,19.029572
33,KOLKATA,KO10,BBD Bag,NA,5,alopathic,22622030,88.3498764,22.566198
33,KOLKATA,KO12,Salt Lake AF,NA,2,alopathic,23374635,88.42153931,22.598293
33,KOLKATA,KO15,Tollygunj,NA,5,alopathic,24116059,88.35319519,22.489405
33,KOLKATA,KO4,Narkeldanga,NA,3,alopathic,23203998,88.39266205,22.573692
33,KOLKATA,KO9,Mint Colony,NA,5,alopathic,24010558,88.31976318,22.514448
3592,GANGTOK,GK1,Gangtok,NA,1,alopathic,,88.60646057,27.344988
361,GUWAHATI,GT4,Panbazar,NA,4,alopathic,0361-2540551,91.74562073,26.185768
361,GUWAHATI,GT5,Beharbari,NA,3,alopathic,7896020538,91.77283478,26.115187
361,GUWAHATI,GT6,GUWAHATI HOMEO 1,NA,3,homeo,,91.78816223,26.146744
385,IMPHAL,IM1,Imphal,NA,2,alopathic,,93.95159149,24.797945
40,HYDERABAD,HY1,Charminar,NA,4,alopathic,040-24525415,78.48617554,17.373007
44,CHENNAI,CH01,ADYAR,NA,3,alopathic,044-23458401,80.25343323,12.991768
44,CHENNAI,CH14,VEPERY,NA,1,alopathic,044-23458414,80.24078369,13.079123
471,TRIVANDRUM,TR1,Kesavadasapuram,NA,4,alopathic,0471-2443452,76.9407196,8.533119
512,KANPUR,KN4,Khapra Mohal,NA,2,alopathic,0512-2322924,80.35733795,26.455675
512,KANPUR,KN5,Kendranchal,NA,3,alopathic,0512-2618122,80.34269714,26.400698
522,LUCKNOW,LK4,Lucknow4,NA,3,alopathic,0522-2421931,80.88471985,26.843386
532,ALLAHABAD,AL03,Kalyani Devi,NA,3,alopathic,0532-2242530,81.83385468,25.42972
612,PATNA,PA5,SURYANCHAL BHANDRA GHAT,NA,4,alopathic,,85.20616913,25.60989
674,BHUBANESHWAR,BH1,OLD AG COLONY,NA,3,alopathic,0674-2393612,85.82943726,20.279497
712,NAGPUR,NP3,PANCH PAOLI,NA,4,alopathic,,79.10032654,21.173529
712,NAGPUR,NP5,MEDICAL SQUARE,NA,3,alopathic,,79.09701538,21.131998
712,NAGPUR,NP6,SHANKAR NAGAR,NA,4,alopathic,0712-2249781,79.05664825,21.134077
761,JABALPUR,JB1,JABALPUR 1,NA,8,alopathic,,79.92443848,23.161173
761,JABALPUR,JB4,Head Post Office,NA,5,alopathic,2629460,79.95515442,23.161499
79,AHMEDABAD,AHA7,AYURVEDIC GANDHI NAGAR,NA,2,ayurvedic,,72.64839935,23.207758
80,BENGALURU,BA04,Wellness Center Ulsoor,NA,4,alopathic,080 25510759,77.62536621,12.975879
80,BENGALURU,BA11,CGHS Polyclinic,NA,6,alopathic,080 25589225,77.62081909,12.92536
80,BENGALURU,BA15,KA UNANI SHIVAJINAGAR,NA,1,unani,,77.603302,12.980249
891,VISAKHAPATNAM,HYV,VISAKHAPATNAM,NA,5,alopathic,,83.33178711,17.728617
11,DELHI/NCR,AY19,Dev Nagar (Ayurvedic),NA,2,ayurvedic,25860275,77.18402863,28.654448
11,DELHI/NCR,AY31,North Avenue (Ayur),NA,3,ayurvedic,23092794,77.19916534,28.618547
11,DELHI/NCR,AY63,Sadiq Nagar,NA,2,ayurvedic,011-24623767,77.22678375,28.554974
11,DELHI/NCR,AY9,AYURVEDIC WC LODHI ROAD I(ALI GANJ),NA,10,ayurvedic,,77.21893311,28.583834
11,DELHI/NCR,D22A,Greater Noida,NA,7,alopathic,0120-2447126,77.52124023,28.45142
11,DELHI/NCR,D23,Chanakya Puri,NA,12,alopathic,24673777 24122518,77.20863342,28.569805
11,DELHI/NCR,D24,KASTURBA NAGAR-I,NA,2,alopathic,011-24622867,77.22444916,28.577652
11,DELHI/NCR,D3,Delhi Cantt,NA,7,alopathic,25692914,77.11991119,28.590773
11,DELHI/NCR,D4,Minto Road,NA,5,alopathic,23234625,77.22707367,28.639399
11,DELHI/NCR,D49,Shahdara,NA,9,alopathic,011-22583766,77.2988205,28.681366
11,DELHI/NCR,D5,Paharganj,NA,3,alopathic,23587511 23561574,77.2093811,28.64533
11,DELHI/NCR,D52,"RK Puram IV,Sec8",NA,7,alopathic,011-26173988,77.16693115,28.571602
11,DELHI/NCR,D56,GKG WC ,NA,4,alopathic,011-22512866,77.2840271,28.65882
11,DELHI/NCR,D60,Kingsway Camp,NA,12,alopathic,011-27459411,77.198349,28.688356
11,DELHI/NCR,D62,Ashok Vihar,NA,4,alopathic,27242028,77.16370392,28.693634
11,DELHI/NCR,D7,Timarpur,NA,8,alopathic,011-23813808,77.22129059,28.706646
11,DELHI/NCR,D70,Faridabad,NA,6,alopathic,0129-2412729,77.29773712,28.405228
11,DELHI/NCR,D75,KALKAJI-II,NA,4,alopathic,011-26028746,77.25197601,28.531225
11,DELHI/NCR,D78,DAKSHINPURI(PUSHP VIHAR),NA,7,alopathic,011-29563193,77.22632599,28.523653
11,DELHI/NCR,D82,Sunder Vihar,NA,4,alopathic,,77.10273743,28.669186
11,DELHI/NCR,D85,Noida ,NA,10,alopathic,0120-2532312,77.33611298,28.599594
11,DELHI/NCR,D86,Rohini-7,NA,6,alopathic,27040169,77.11855316,28.704813
11,DELHI/NCR,D95,Noida Sec-82,NA,6,alopathic,0120-2568899,77.39177704,28.529837
11,DELHI/NCR,HO26,Tilak Nagar (Homeo),NA,2,homeo,25998900,77.09831238,28.638943
11,DELHI/NCR,UN13,Sarojini Nagar Unani,NA,3,unani,011-24673551,77.20131683,28.576881
121,MEERUT,MR2,Shastri Nagar,NA,2,alopathic,0121-2641320,77.7321167,28.95477
121,MEERUT,MR3,Vijay Nagar,NA,2,alopathic,0121-2640074,77.70441437,28.98993
121,MEERUT,MR4,Kanker Khera,NA,6,alopathic,0121-2556394,77.68421173,29.030275
121,MEERUT,MR5,S K Road,NA,6,alopathic,0121-2763159,77.72096252,28.974173
141,JAIPUR,JA4,BANI PARK,NA,4,alopathic,0141-2207708,75.78604126,26.926512
20,PUNE,PU06,Range Hills,NA,3,alopathic,020-25819776,73.84120941,18.550385
20,PUNE,PU08,Bajirao Road,NA,4,alopathic,020-24471602,73.87454987,18.55219
20,PUNE,PU09,G.T.Road,NA,2,alopathic,020-26360020,73.87970734,18.515316
20,PUNE,PUH5,Homeopathic Boys battalion Pune,NA,1,homeo,,73.81980896,18.551321
22,MUMBAI,MU26,Seepz,NA,2,alopathic,022–28365751,72.87551117,19.128706
22,MUMBAI,MU28,Juhu,NA,6,alopathic,022–26601744,72.85726929,19.103073
33,KOLKATA,KO7,B/ Kalighat,NA,4,alopathic,24641852,88.34750366,22.522116
33,KOLKATA,KO8,Bidhan Sarani,NA,3,alopathic,25558034,88.36728668,22.699827
40,HYDERABAD,HY10,AG’S Colony,NA,7,alopathic,040-23810449,78.43066406,17.449778
40,HYDERABAD,HY11,Kakatiyanagar,NA,5,alopathic,040-23002454,78.35646057,17.438862
40,HYDERABAD,HY3,Secunderabad,NA,5,alopathic,040-27708898,78.49386597,17.423944
44,CHENNAI,CH02,ANNA NAGAR,NA,10,alopathic,044-23458402,80.20435333,13.088988
44,CHENNAI,CH03,AVADI,NA,6,alopathic,044-23458403,80.10611725,13.1238575
44,CHENNAI,CH04,GOPALAPURAM,NA,2,alopathic,044-23458404,80.26151276,13.04461
44,CHENNAI,CH06,KK NAGAR,NA,14,alopathic,044-23458406,80.20787811,13.036907
44,CHENNAI,CH07,MEENAMBAKKAM,NA,5,alopathic,044-23458407,80.17644501,12.980883
44,CHENNAI,CH12,ROYAPURAM,NA,3,alopathic,044-23458412,80.29465485,13.101272
512,KANPUR,KN1,Saket Nagar,NA,2,alopathic,0512-2666240,80.31765747,26.435453
512,KANPUR,KN8,Azad Nagar,NA,4,alopathic,0512-2560272,80.30625916,26.500862
522,LUCKNOW,LK1,Lucknow 1,NA,8,alopathic,,80.99488068,26.863432
522,LUCKNOW,LK10,AYURVEDIC LUCKNOW,NA,2,ayurvedic,,80.94749451,26.83356
522,LUCKNOW,LK2,Lucknow2,NA,3,alopathic,0522-2613763,80.95143127,26.886131
522,LUCKNOW,LK3,Lucknow3,NA,7,alopathic,0522-2421992,80.90444183,26.79093
522,LUCKNOW,LK5,Lucknow5,NA,5,alopathic,0522-2235139,80.94749451,26.83356
522,LUCKNOW,LK6,Lucknow6,NA,8,alopathic,0522-2745246,80.94458771,26.904528
532,ALLAHABAD,AL01,Jawahar Lal Nehru Road,NA,4,alopathic,0532-2468188,81.86323547,25.451668
532,ALLAHABAD,AL06,Leader Road,NA,2,alopathic,0532-403822,81.83309174,25.443272
532,ALLAHABAD,ALA1,AYURVEDIC UNIT,NA,2,ayurvedic,,81.83092499,25.449434
532,ALLAHABAD,ALH1,HOMEO UNIT,NA,2,homeo,,81.83092499,25.449434
612,PATNA,PA1,Budhmarg,NA,6,alopathic,0612-2221479,85.13365936,25.607672
612,PATNA,PA3,Salimpur Dumra,NA,6,alopathic,0612-2582998,85.08421326,25.617695
651,RANCHI,RA3,P and T COLONY LALPUR,NA,2,alopathic,0651-2562333,85.34026337,23.374857
674,BHUBANESHWAR,BH2,KHARAVELA NAGAR,NA,1,alopathic,0674-2393545,85.83598328,20.272116
712,NAGPUR,NP2A,Seminary Hills,NA,5,alopathic,0712-2511398,79.05751038,21.15836
712,NAGPUR,NP7,Sitabuldi,NA,5,alopathic,0712- 2565169,79.08055115,21.15101
761,JABALPUR,JB2,I.B.M. Colony,NA,3,alopathic,0761 2416805,79.91046906,23.167952
761,JABALPUR,JB3,Westland OFK-Extn. Counter of Wellness Centre no. 3,NA,4,alopathic,2430018,79.98557281,23.188099
79,AHMEDABAD,AH01,Ashram Road,NA,5,alopathic,079 26577393,72.56924438,23.035246
79,AHMEDABAD,AH03,Navrangpura,NA,3,alopathic,079 26430021,72.55283356,23.0451
79,AHMEDABAD,AHA8,AYURVEDIC LALDARWAJA,NA,3,ayurvedic,,72.56919861,23.035217
80,BENGALURU,BA02,Wellness Center Seshadripuram,NA,3,alopathic,080 23311492,77.57411194,12.98935
80,BENGALURU,BA09,Wellnessd Center Gangenahalli,NA,4,alopathic,080 23330320,77.58743286,13.022677
11,DELHI/NCR,AY67,Laxmi Nagar Ayurvedic,NA,2,ayurvedic,011-22543108/ 22466544,77.27727509,28.630713
11,DELHI/NCR,D19,Dev Nagar,NA,4,alopathic,25860275,77.18402863,28.654448
11,DELHI/NCR,D2,Pandara Road,NA,5,alopathic,23385040 23073054,77.22740173,28.602995
11,DELHI/NCR,D21,Netaji Nagar,NA,4,alopathic,011-24670222,77.18649292,28.572374
11,DELHI/NCR,D32,South Avenue,NA,6,alopathic,23013490,77.19973755,28.60824
11,DELHI/NCR,D33A,Jharoda Kalan,NA,6,alopathic,25315364,76.96034241,28.639637
11,DELHI/NCR,D36A,Dwarka,NA,9,alopathic,25056722,77.08275604,28.59262
11,DELHI/NCR,D37,Sriniwas Puri,NA,4,alopathic,011-26910251,77.25615692,28.564219
11,DELHI/NCR,D47,HAUZ KHAS,NA,6,alopathic,011-26567844,77.20210266,28.55045
11,DELHI/NCR,D54,Shakur Basti,NA,5,alopathic,27021102,77.11525726,28.689352
11,DELHI/NCR,D74,Janakpuri-II,NA,3,alopathic,25619345,77.08933258,28.621658
11,DELHI/NCR,D80,Paschim Vihar,NA,6,alopathic,25268410,77.10283661,28.669004
11,DELHI/NCR,D81,Pitampura,NA,5,alopathic,27344481,77.11511993,28.691742
11,DELHI/NCR,D88,Shalimar Bagh,NA,5,alopathic,27486048,77.15461731,28.70817
11,DELHI/NCR,D98,Naraina Vihar,NA,5,alopathic,25778775,77.1435318,28.624996
11,DELHI/NCR,HO19,Dev Nagar (Homeo),NA,3,homeo,25758888,77.18417358,28.654589
11,DELHI/NCR,HO76,Kalibari (Homeo),NA,3,homeo,23364574,77.20005798,28.629055
11,DELHI/NCR,RML,DR. RML HOSPITAL,NA,50,alopathic,,77.19872284,28.624563
11,DELHI/NCR,SA1,SIDHA WC LODHI ROAD,NA,1,siddha,,77.22452545,28.582287
11,DELHI/NCR,UN32,South Avenue (Unani),NA,2,unani,23015125,77.19973755,28.60824
121,MEERUT,MRA1,AbuLane Meerut,NA,2,ayurvedic,,77.70223999,28.997238
135,DHERADUN,DD2,P & T Wellness Centre,NA,2,alopathic,0135-2653166,78.01203918,30.310898
141,JAIPUR,JA1,Chaura Rasta,NA,2,alopathic,0141-2329927,75.82113647,26.918316
141,JAIPUR,JA5,Jyoti Nagar,NA,8,alopathic,0141-2743263,75.79559326,26.89531
141,JAIPUR,JA6,GSI Colony,NA,6,alopathic,0141-2755732,75.81828308,26.84535
172,CHANDIGARH,CG1,Chandigarh,NA,4,alopathic,0172-2630692,76.76093292,30.70427
20,PUNE,PU05,Ganeshkhind Road,NA,5,alopathic,020-25652045,73.82102966,18.551151
22,MUMBAI,MU12,Ambarnath,NA,6,alopathic,0251–2600858,73.18596649,19.212654
22,MUMBAI,MU27,Nepean Sea Road,NA,1,alopathic,022–23641816,72.80034637,18.956367
22,MUMBAI,MU3,Worli,NA,3,alopathic,022–24932909,72.81368256,19.003506
22,MUMBAI,MU5,SANTAKRUZ,NA,8,alopathic,022–28210971,72.85727692,19.103624
22,MUMBAI,MU7,WADALA,NA,3,alopathic,022–24124515,72.85579681,19.017803
33,KOLKATA,KO17,Kudghat,NA,2,alopathic,24311328,88.34709167,22.479055
33,KOLKATA,KO2,Lake Area,NA,3,alopathic,24661733,88.35822296,22.514097
33,KOLKATA,KO5,Shyambazar,NA,3,alopathic,25556385,88.37348938,22.599861
364,SHILLONG,SH1,Wellness Centre Laitumkhrah,NA,2,alopathic,0364-2501569,91.90233612,25.567507
381,AGARTALA,AG1,Agartala,NA,2,alopathic,,91.28557587,23.862661
389,AIZWAL,AZ1,AiZwal,NA,1,alopathic,,92.71346283,23.721273
40,HYDERABAD,HY13,Tarnaka,NA,5,alopathic,040-27019223,78.55856323,17.402079
40,HYDERABAD,HY7,Malakpet,NA,3,alopathic,040-27529090,78.50112152,17.371193
44,CHENNAI,CH08,NANDAMBAKKAM,NA,1,alopathic,044-23458408,80.19511414,13.01473
44,CHENNAI,CH10,PERAMBUR,NA,4,alopathic,,80.23166656,13.116081
44,CHENNAI,CH11,RA PURAM,NA,1,alopathic,044-23458411,80.25968933,13.021473
512,KANPUR,KN3,Civil Lines,NA,3,alopathic,0512-2306876,80.34627533,26.475863
512,KANPUR,KN9,Ratan Lal Nagar,NA,7,alopathic,0512-2283399,80.28739166,26.444014
522,LUCKNOW,LK9,Aishbagh,NA,2,alopathic,0522-2251392,80.90119934,26.848011
532,ALLAHABAD,AL02,Drummond,NA,3,alopathic,0532-2624435,81.82738495,25.450512
532,ALLAHABAD,AL05,Kendranchal Colony,NA,4,alopathic,,81.77735901,25.454859
651,RANCHI,RA1,"NEW AG COLONY, DORANDA",NA,4,alopathic,0651-2481901,85.31861115,23.343538
651,RANCHI,RA2,KANTA TOLI,NA,3,alopathic,0651-2530244,85.34331512,23.364851
712,NAGPUR,NPA5,AYURVEDIC WC No. 5 NAGPUR,NA,3,ayurvedic,,79.09701538,21.131998
712,NAGPUR,NPH2,HOMEOPATHIC WC No. 2 NAGPUR,NA,3,homeo,,79.0574646,21.158367
731,INDORE,IN1,INDORE1,NA,2,alopathic,,75.88589478,22.711237
761,JABALPUR,JB5,CGHS WC 5 JABALPUR,NA,3,alopathic,,80.01100922,23.204065
79,AHMEDABAD,AH02,Shahalam,NA,3,alopathic,079 25393262,72.59152985,22.999426
79,AHMEDABAD,AH04,Pragatinagar,NA,4,alopathic,079 27478393,72.55476379,23.066833
79,AHMEDABAD,AH10,Bopal,NA,1,alopathic,02717-243144,72.47691345,23.026167
79,AHMEDABAD,AHA1,AYURVEDIC ASHRAM ROAD,NA,4,ayurvedic,,72.5692215,23.035265
80,BENGALURU,BA05,Wellness Center Vijayanagara,NA,3,alopathic,080 23351893,77.53996277,12.973906
80,BENGALURU,BA06,Wellness Center Jayanara,NA,6,alopathic,080 26570202,77.5798645,12.941909
80,BENGALURU,BA08,Wellness Center Domlur,NA,5,alopathic,080 25355662,77.64233398,12.959418
80,BENGALURU,BA10,Wellness Center CV Raman Nagar DRDO,NA,7,alopathic,080 25243236,77.66238403,12.987225
11,DELHI/NCR,AY57,"R.K.Puram-V,(Sec-12)",NA,3,ayurvedic,011-26175146,77.17580414,28.573278
11,DELHI/NCR,AY65,AYURVEDIC WC MEHRAULI BADARPUR,NA,3,ayurvedic,011-29564988,77.22093201,28.52314
11,DELHI/NCR,D1,Gole Market,NA,5,alopathic,23743810,77.2027359,28.634432
11,DELHI/NCR,D17A,VIKAS PURI,NA,8,alopathic,28533441,77.0651474,28.63281
11,DELHI/NCR,D27,President Estate,NA,4,alopathic,23094777 23092990,77.19902039,28.6243
11,DELHI/NCR,D29,Nanak Pura,NA,4,alopathic,011-24670444,77.16872406,28.58163
11,DELHI/NCR,D40,Jangpura,NA,3,alopathic,011-24312213,77.24533081,28.582262
11,DELHI/NCR,D42,Kalkaji – I,NA,8,alopathic,011-26430851,77.25829315,28.54032
11,DELHI/NCR,D44,Dr. Zakir Hussain Road,NA,7,alopathic,23383724,77.23468018,28.605564
11,DELHI/NCR,D45,New Rajinder Ngr,NA,4,alopathic,28742850,77.18449402,28.635836
11,DELHI/NCR,D48,Hari Nagar,NA,5,alopathic,28125518,77.10442352,28.624546
11,DELHI/NCR,D50A,CBI COLONY,NA,2,alopathic,011-26141978,77.16330719,28.557566
11,DELHI/NCR,D57,"RK Puram V,Sec12",NA,4,alopathic,011-26170472,77.17582703,28.57319
11,DELHI/NCR,D6,Subzi Mandi,NA,3,alopathic,011-23655272,77.1829834,28.67464
11,DELHI/NCR,D8,Chandni Chowk,NA,3,alopathic,23866892,77.23525238,28.657497
11,DELHI/NCR,D83,Pragati Vihar,NA,6,alopathic,24361522 24367843,77.23170471,28.588785
11,DELHI/NCR,D94,Sahibabad,NA,7,alopathic,0120-2630066,77.35012817,28.684004
11,DELHI/NCR,HO32,South Avenue (Homeo),NA,2,homeo,23017698,77.19864655,28.608507
